,price,rent_price,area_m2,room_number,year,floor_number,features
155,479000.0,,43.0,2.0,2016.0,ground_floor,"['monitoring / ochrona', 'meble']"
156,899000.0,700.0,91.0,3.0,1922.0,ground_floor,"['telewizja kablowa', 'internet', 'telefon', 'domofon / wideofon', 'balkon', 'piwnica']"
157,653313.0,,44.29,2.0,2022.0,ground_floor,"['ogródek', 'winda']"
158,445000.0,,47.31,2.0,2022.0,ground_floor,"['telewizja kablowa', 'internet', 'system alarmowy', 'teren zamknięty', 'domofon / wideofon', 'garaż/miejsce parkingowe', 'ogródek']"
159,441020.0,,54.12,3.0,2023.0,floor_2,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'balkon', 'garaż/miejsce parkingowe', 'winda']"
160,438260.0,,51.56,3.0,2024.0,floor_2,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'ogródek', 'winda', 'pom. użytkowe']"
161,990000.0,650.0,68.12,3.0,2015.0,floor_1,"['telewizja kablowa', 'internet', 'domofon / wideofon', 'monitoring / ochrona', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'balkon', 'garaż/miejsce parkingowe', 'winda']"
162,879000.0,625.0,93.0,4.0,2013.0,floor_3,[]
163,1049000.0,500.0,97.8,5.0,,ground_floor,"['garaż/miejsce parkingowe', 'oddzielna kuchnia']"
164,629000.0,703.0,55.4,3.0,1963.0,floor_1,"['garaż/miejsce parkingowe', 'oddzielna kuchnia']"
165,525000.0,,57.0,3.0,2016.0,floor_5,"['monitoring / ochrona', 'meble', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
166,859000.0,350.0,72.0,3.0,,ground_floor,['garaż/miejsce parkingowe']
167,845000.0,,110.0,3.0,2009.0,floor_4,"['balkon', 'garaż/miejsce parkingowe', 'winda']"
168,1460000.0,800.0,70.0,3.0,2017.0,ground_floor,"['system alarmowy', 'monitoring / ochrona', 'garaż/miejsce parkingowe', 'winda']"
